sample_id,text_type,label,attack_percentage,snr
546,human_baseline,0,0.1,0.9092292211182864
547,original_ai,1,0.1,1.7997221576671365
548,translated,1,0.1,1.712494322238265
549,substituted,1,0.1,1.6002985094557187
550,paraphrased,1,0.1,1.7213605532006526
551,mixed_text,1,0.1,2.3651171790931937
552,human_baseline,0,0.1,0.9239931655844756
553,original_ai,1,0.1,1.6533762891289527
554,translated,1,0.1,1.85557153037446
555,substituted,1,0.1,1.8342719870830475
556,paraphrased,1,0.1,0.8120331801125272
557,mixed_text,1,0.1,1.4537126362106148
558,human_baseline,0,0.1,1.100798079470097
559,original_ai,1,0.1,2.3895567161695217
560,translated,1,0.1,2.145154444293913
561,substituted,1,0.1,1.6355289957348749
562,paraphrased,1,0.1,1.3128468629718448
563,mixed_text,1,0.1,1.6775360864054707
564,human_baseline,0,0.1,1.005236745438267
565,original_ai,1,0.1,2.6875200738027063
566,translated,1,0.1,2.6267210237986047
567,substituted,1,0.1,1.9880142575098587
568,paraphrased,1,0.1,1.3885704000576302
569,mixed_text,1,0.1,1.797416862065936
570,human_baseline,0,0.1,0.926877533348391
571,original_ai,1,0.1,1.5838437835252708
572,translated,1,0.1,1.3458876169012477
573,substituted,1,0.1,1.4487918221502336
574,paraphrased,1,0.1,1.1606033921098355
575,mixed_text,1,0.1,2.307549149532283
576,human_baseline,0,0.1,0.602523312556134
577,original_ai,1,0.1,1.607322210007577
578,translated,1,0.1,1.6126717053009454
579,substituted,1,0.1,1.5092891047199857
580,paraphrased,1,0.1,1.0215563887447685
581,mixed_text,1,0.1,1.3287336736096884
582,human_baseline,0,0.1,0.69345276764008
583,original_ai,1,0.1,2.150013938756563
584,translated,1,0.1,1.9228923014791568
585,substituted,1,0.1,1.4082212280864912
586,paraphrased,1,0.1,1.2011366608452865
587,mixed_text,1,0.1,1.6698307617860295
588,human_baseline,0,0.1,0.952466229433922
589,original_ai,1,0.1,2.00311876665317
590,translated,1,0.1,1.7477755101037116
591,substituted,1,0.1,1.967510978684188
592,paraphrased,1,0.1,1.7186744563728291
593,mixed_text,1,0.1,1.1890048441345924
594,human_baseline,0,0.1,0.9805564552215534
595,original_ai,1,0.1,2.191468540280728
596,translated,1,0.1,1.8001396244473384
597,substituted,1,0.1,2.15918240023139
598,paraphrased,1,0.1,1.0990131658342324
599,mixed_text,1,0.1,1.7797090375619238
600,human_baseline,0,0.1,0.6674094266910446
601,original_ai,1,0.1,2.568120742009595
602,translated,1,0.1,2.4366432834390794
603,substituted,1,0.1,2.4804984710810225
604,paraphrased,1,0.1,1.35822584902652
605,mixed_text,1,0.1,1.8836362114747256
606,human_baseline,0,0.1,0.802805784460678
607,original_ai,1,0.1,2.447675716277718
608,translated,1,0.1,1.2404826972886285
609,substituted,1,0.1,1.774988944224405
